SL,project_name,migration_direction,prompt_mode,set_folder_name,fold_name,model_name,avg_cosine_similarity,max_cosine_similarity,avg_crystal_bleu,max_crystal_bleu
1,Hakky54_mutual-tls-ssl,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.95,0.95,0.52,0.52
2,Hakky54_mutual-tls-ssl,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.74,0.74,0.49,0.49
3,Paul2708_simple-commands,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.99,0.99,0.97,0.97
4,Paul2708_simple-commands,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.92,0.92,0.83,0.83
5,TagnumElite_ProjectE-Integration,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.94,0.94,0.80,0.80
6,TagnumElite_ProjectE-Integration,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.86,0.86,0.74,0.74
7,ThatKawaiiSam_Assemble,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.92,0.92,0.54,0.54
8,ThatKawaiiSam_Assemble,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.82,0.82,0.60,0.60
9,ballerina-platform_module-ballerina-docker,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.85,0.85,0.67,0.67
10,ballerina-platform_module-ballerina-docker,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.54,0.54,0.57,0.57
11,imglib_imglib2-tutorials,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.94,0.94,0.97,0.97
12,imglib_imglib2-tutorials,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.55,0.55,0.73,0.73
13,inferno-framework_fhir-validator-wrapper,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.99,0.99,0.97,0.97
14,inferno-framework_fhir-validator-wrapper,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.77,0.77,0.84,0.84
15,ipregistry_ipregistry-java,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.98,0.98,0.97,0.97
16,ipregistry_ipregistry-java,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.83,0.83,0.45,0.45
17,junit-team_junit5,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.79,0.79,0.30,0.30
18,junit-team_junit5,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.68,0.68,0.52,0.52
19,micheljung_nocatch,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.83,0.83,0.50,0.50
20,micheljung_nocatch,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.64,0.64,0.26,0.26
21,nhl_dflib,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.88,0.88,0.55,0.55
22,nhl_dflib,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.58,0.58,0.68,0.68
23,primefaces-extensions_primefaces-integration-tests,travis_to_gha,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.82,0.82,0.66,0.66
24,primefaces-extensions_primefaces-integration-tests,gha_to_travis,fine-tuned,Set_90_10,Set_90_10_V_01,gemma3_12b,0.84,0.84,0.78,0.78
