setting,project,direction,model,service,file_path,yaml_parsed,external_ok,yaml_score,external_score,external_tool,external_pass_count,external_total_count,actionlint_ok,travis_lint_ok,score,messages
CIMig,ANierbeck_Karaf-Vertx,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/03_CIMig_Travis_to_GHA/ANierbeck_Karaf-Vertx_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/03_CIMig_Travis_to_GHA/ANierbeck_Karaf-Vertx_original.yml"", line 11, column 7 | [actionlint rc=1] ANierbeck_Karaf-Vertx_original.yml:11:0: could not parse as YAML: yaml: line 11: mapping values are not allowed in this context [syntax-check] /    | / 11 |   push: /    |"
CIMig,ANierbeck_Karaf-Vertx,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/04_CIMig_GHA_to_Travis/ANierbeck_Karaf-Vertx_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/04_CIMig_GHA_to_Travis/ANierbeck_Karaf-Vertx_travis.yml"", line 6, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/ANierbeck_Karaf-Vertx/04_CIMig_GHA_to_Travis/ANierbeck_Karaf-Vertx_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 6 column 9"
CIMig,AreaFiftyLAN_lancie-api,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/03_CIMig_Travis_to_GHA/AreaFiftyLAN_lancie-api_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while parsing a block mapping /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/03_CIMig_Travis_to_GHA/AreaFiftyLAN_lancie-api_original.yml"", line 9, column 3 / expected <block end>, but found '-' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/03_CIMig_Travis_to_GHA/AreaFiftyLAN_lancie-api_original.yml"", line 11, column 3 | [actionlint rc=1] AreaFiftyLAN_lancie-api_original.yml:8:0: could not parse as YAML: yaml: line 8: did not find expected key [syntax-check] /   | / 8 | jobs: /   |"
CIMig,AreaFiftyLAN_lancie-api,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/04_CIMig_GHA_to_Travis/AreaFiftyLAN_lancie-api_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/04_CIMig_GHA_to_Travis/AreaFiftyLAN_lancie-api_travis.yml"", line 6, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AreaFiftyLAN_lancie-api/04_CIMig_GHA_to_Travis/AreaFiftyLAN_lancie-api_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 6 column 9"
CIMig,AtomGraph_Processor,travis_to_gha,CIMig,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/03_CIMig_Travis_to_GHA/AtomGraph_Processor_original.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/03_CIMig_Travis_to_GHA/AtomGraph_Processor_original.yml"", line 5, column 7 | [actionlint rc=1] AtomGraph_Processor_original.yml:5:0: could not parse as YAML: yaml: line 5: mapping values are not allowed in this context [syntax-check] /   | / 5 |   push: /   |"
CIMig,AtomGraph_Processor,gha_to_travis,CIMig,travis,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/04_CIMig_GHA_to_Travis/AtomGraph_Processor_travis.yml,False,False,0.0,0.0,travis lint,0,1,,False,0.0,"YAML parse error: mapping values are not allowed here /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/04_CIMig_GHA_to_Travis/AtomGraph_Processor_travis.yml"", line 7, column 9 | [travis lint rc=1] /Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIMig_Results/AtomGraph_Processor/04_CIMig_GHA_to_Travis/AtomGraph_Processor_travis.yml is not valid YAML: (<unknown>): mapping values are not allowed in this context at line 7 column 9"
Zero-Shot,AtomGraph_Processor,travis_to_gha,gemma3_12b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gemma3_12b/actions.yml,True,False,1.0,0.0,actionlint,0,1,False,,0.5,"[actionlint rc=1] actions.yml:11:7: ""services"" section is sequence node but mapping node is expected [syntax-check] /    | / 11 |       - docker /    |       ^ / actions.yml:12:9: expecting a single ${{...}} expression or mapping value for ""env"" section, but found plain text node [syntax-check] /    | / 12 |     env: /    |         ^"
Zero-Shot,AtomGraph_Processor,travis_to_gha,llama3_1_8b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/llama3_1_8b/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=1] actions.yml:67:7: shellcheck reported issue in this script: SC1129:error:1:6: You need a space before the ! [shellcheck] /    | / 67 |       run: | /    |       ^~~~ / actions.yml:67:7: shellcheck reported issue in this script: SC1089:error:1:86: Parsing stopped here. Is this keyword correctly matched up? [shellcheck] /    | / 67 |       run: | /    |       ^~~~
Zero-Shot,AtomGraph_Processor,travis_to_gha,gpt-4o,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/gpt-4o/actions.yml,True,True,1.0,1.0,actionlint,1,1,True,,1.0,[actionlint rc=0] 
Zero-Shot,AtomGraph_Processor,travis_to_gha,mistral_7b,gha,/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml,False,False,0.0,0.0,actionlint,0,1,False,,0.0,"YAML parse error: while scanning a simple key /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 42, column 9 / could not find expected ':' /   in ""/Users/nhossaincse/Documents/Personal/Study Material/MSc in AMODBDA/Thesis/Playground/Results/CIgrate_Results_ZeroShot/AtomGraph_Processor/03_CIgrate_Travis_to_GHA/mistral_7b/actions.yml"", line 42, column 12 | [actionlint rc=1] actions.yml:42:0: could not parse as YAML: yaml: line 42: could not find expected ':' [syntax-check] /    | / 42 |         run /    |"
