instruction,input,output,direction,project
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","sudo: required
dist: trixie
addons:
  apt:
    packages:
      - bc
      - parallel
language: java
jdk:
  - openjdk25
  - oraclejdk25
script: make verify
",,travis_to_gha,FAU-Inf2_AuDoscore
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: java
jdk: oraclejdk21
#dist: trusty
",,travis_to_gha,davidecolombo_noip
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: java
dist: focal

jdk:
  - openjdk21

before_install:
  - sudo rm -rf /var/lib/elasticsearch
  - curl https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-9.1.4-amd64.deb -o elasticsearch.deb && sudo dpkg -i --force-confnew elasticsearch.deb
  - sudo cp ./src/test/resources/elasticsearch.yml /etc/elasticsearch/elasticsearch.yml
  - sudo cat /etc/elasticsearch/elasticsearch.yml
  - sudo java -version
  - sudo chown -R elasticsearch:elasticsearch /etc/default/elasticsearch
  - sudo service elasticsearch start
  - sleep 30

install:
  - mvn install -DskipTests=true -Dmaven.javadoc.skip=true -Dgpg.skip=true

script:
  - ulimit -a
  - mvn test
",,travis_to_gha,NLPchina_elasticsearch-sql
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: minimal

git:
  depth: false

os: linux
dist: jammy

cache:
  directories:
    - $HOME/.m2

services:
  - docker

script:
  - travis_retry docker run -v $PWD:/src -v $HOME/.m2:/root/.m2 -e VAULT_TOKEN=$VAULT_TOKEN moussavdb/build-java:lts
",,travis_to_gha,yildiz-online_engine-shared
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: generic

git:
  depth: false

os: linux
dist: jammy

cache:
  directories:
    - $HOME/.m2

services:
  - docker

script:
  - travis_retry docker run -v $PWD:/src -v $HOME/.m2:/root/.m2 -e BRANCH=$TRAVIS_BRANCH -e VAULT_TOKEN=$VAULT_TOKEN moussavdb/build-java:lts
",,travis_to_gha,yildiz-online_common-client
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: java
",,travis_to_gha,furti_spring-web-extended
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","# .travis.yml
language: java
dist: noble
jdk: openjdk11
jobs:
  include:
    - if: repo = alfasoftware/soapstone AND type = pull_request
      name: ""Test""
      script: mvn clean test -B -U -Pdefault
    - if: repo = alfasoftware/soapstone AND (branch = master OR tag IS present) AND NOT type = pull_request
      name: ""Test and Deploy""
      script:
        - echo $GPG_SECRET_KEYS | base64 --decode | $GPG_EXECUTABLE --batch --import
        - echo $GPG_OWNERTRUST | base64 --decode | $GPG_EXECUTABLE --batch --import-ownertrust
        - mvn clean deploy --settings .maven-settings.xml -B -U -Prelease

",,travis_to_gha,alfasoftware_soapstone
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","sudo: false
arch: amd64          # optional, this is default, routes to a full VM
os: linux            # optional, this is default
dist: noble          # or jammy | focal | bionic | xenial | trusty | precise with xenial as default
language: java
jdk:
   - openjdk17
cache:
  directories:
  - $HOME/.m2
  - $HOME/apache-maven-3.8.6

## export GPG details
before_install:
  - echo use-agent >> ~/.gnupg/gpg.conf
  - echo pinentry-mode loopback >> ~/.gnupg/gpg.conf
  - echo allow-loopback-pinentry >> ~/.gnupg/gpg-agent.conf
  - echo RELOADAGENT | gpg-connect-agent
  - echo $GPG_SECRET_KEYS | base64 --decode | $GPG_EXECUTABLE --import --no-tty --batch --yes
  - echo $GPG_OWNERTRUST | base64 --decode | $GPG_EXECUTABLE --import-ownertrust
  - export M2_HOME=$HOME/apache-maven-3.8.6
  - if [ ! -d $M2_HOME/bin ]; then curl https://archive.apache.org/dist/maven/maven-3/3.8.6/binaries/apache-maven-3.8.6-bin.tar.gz | tar zxf - -C $HOME; fi
  - export PATH=$M2_HOME/bin:$PATH

install: skip

script: mvn --file ikasaneip/pom.xml --settings .settings.xml clean install -Dmaven.javadoc.skip=true -Djava.security.egd=file:/dev/./urandom -Pall -B -V

deploy:
  # deploy develop 3.3.x to oss
  - provider: script
    skip_cleanup: true
    script: mvn -quiet --file ikasaneip/pom.xml deploy -DskipTests=true -Djava.security.egd=file:/dev/./urandom -Pall -B  -V --settings .settings.xml
    on:
      branch: 3.3.x
  # deploy develop 4.0.x to oss
  - provider: script
    skip_cleanup: true
    script: mvn --file ikasaneip/pom.xml deploy -DskipTests=true -Djava.security.egd=file:/dev/./urandom -Pall -B  -V --settings .settings.xml
    on:
      branch: 4.0.x
  # deploy develop 4.1.x to oss
  - provider: script
    skip_cleanup: true
    script: mvn -quiet --file ikasaneip/pom.xml deploy -DskipTests=true -Djava.security.egd=file:/dev/./urandom -Pall -B  -V --settings .settings.xml
    on:
      branch: 4.1.x
  # Push release to oss
  - provider: script
    skip_cleanup: true
    script: mvn -quiet --file ikasaneip/pom.xml deploy -DskipTests=true -Djava.security.egd=file:/dev/./urandom -Pall,release-sign-artifacts -B  -V --settings .settings.xml
    on:
      tags: true
",,travis_to_gha,ikasanEIP_ikasan
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","dist: focal

language: java

jdk:
  - openjdk8
  
branches:
  only:
    - master
    - stable

services:
  - docker
  - mysql
  
addons:
  postgresql: 12
  ssh_known_hosts:
  - ftp.interlis.ch
  apt:
    packages:
    - python3
    - python3-pip
    - postgresql-postgis
#    - python3-docutils    
env:
  global:
  - PGPORT=5433
  - PGUSER=postgres
  
install: true

before_script:
    - # show port used by different installed versions
    - grep port /etc/postgresql/*/main/postgresql.conf
    - # enable same access rules in new installed version 12 as in pre-installed version 13
    - sudo cp /etc/postgresql/13/main/pg_hba.conf /etc/postgresql/12/main/pg_hba.conf
    - # restart postgresql because of changes to pg_hba.conf
    - sudo service postgresql stop
    - sudo service postgresql start 12
    - echo ""$DOCKER_PASSWORD"" | docker login -u ""$DOCKER_USERNAME"" --password-stdin
    - docker run --name=mssql-test -e 'ACCEPT_EULA=Y' -e 'MSSQL_PID=Developer' -e 'MSSQL_SA_PASSWORD=MsInst2019x' -p 1433:1433 -d mcr.microsoft.com/mssql/server:2022-CU9-ubuntu-20.04
    - # localhost is ""-S .""
    - sleep 30; docker ps -a; docker logs --tail=50 mssql-test; docker exec -it mssql-test  /opt/mssql-tools/bin/sqlcmd -S . -U sa -P MsInst2019x -Q 'SELECT @@VERSION;'
    - docker exec -it mssql-test  /opt/mssql-tools/bin/sqlcmd -S . -U sa -P MsInst2019x -Q 'create database ili2db;'
    - mysql -u root --password="""" -e 'SHOW VARIABLES LIKE ""%version%"";'
    - psql -c 'create database ili2db;' -U $PGUSER
    - psql -c 'select version();' -d ili2db -U $PGUSER
    - psql -c 'create extension if not exists postgis;' -d ili2db -U $PGUSER
    - psql -c 'create extension if not exists ""uuid-ossp"";' -d ili2db -U $PGUSER
    - psql -c 'select postgis_full_version();' -d ili2db -U $PGUSER
    - # dpkg-query -L python3-docutils
    - python3 --version
    - # python3 -m pip install docutils # results in permission denied
    - # virtualenv my_py3 --python=/usr/bin/python3
    - virtualenv -p python3 my_py3
    - source my_py3/bin/activate # to activate the python3 environemt    
    - python -m pip --trusted-host pypi.org --trusted-host pypi.python.org --trusted-host files.pythonhosted.org install docutils
    - python -m pip --trusted-host pypi.org --trusted-host pypi.python.org --trusted-host files.pythonhosted.org install Pygments
    - python -m pip --trusted-host pypi.org --trusted-host pypi.python.org --trusted-host files.pythonhosted.org install rst2html
    - python -m pip freeze
    - 
script: 
  - # ant -f build-ili2pg.xml jar
  - ./gradlew jar test 
  - ./gradlew ili2mysqlJar ili2mysqlTest -Dmyurl=jdbc:mysql://localhost/ili2db?useSSL=false -Dmyusr=root
  - ./gradlew ili2pgJar ili2pgTest -Ddburl=jdbc:postgresql://127.0.0.1:$PGPORT/ili2db -Ddbusr=$PGUSER
  - ./gradlew ili2gpkgJar ili2gpkgTest
  - ./gradlew ili2fgdbJar
  - ./gradlew ili2mssqlJar ili2mssqlTest ""-Ddburl=jdbc:sqlserver://localhost;databaseName=ili2db"" -Ddbusr=sa -Ddbpwd=MsInst2019x
  - # ./gradlew ili2oraJar ili2oraTest
  - ./gradlew -Drst2html=`which rst2html.py` usrdoc testreport ili2mysqlBindist ili2pgBindist ili2fgdbBindist ili2mssqlBindist ili2oraBindist
after_failure:
  - cat build/junitreport/junit-noframes.html && sleep 10
deploy:
  - provider: script
    skip_cleanup: true
    script: ./gradlew -Drst2html=`which rst2html.py` -Drepos_pwd=${repos_pwd} -Drepos_usr=jql_jars-INTE uploadArchives
    on:
      branch: master
  - provider: script
    skip_cleanup: true
    script: ./gradlew -Drst2html=`which rst2html.py` -Drepos_pwd=${repos_pwd} -Drepos_usr=jql_jars-INTE '-Drelease=' -Ddownloads_pwd=${downloads_pwd} -Ddownloads_usr=jql_downloads -Ddocs_pwd=${docs_pwd} -Ddocs_usr=jql_docs uploadArchives uploadBin uploadDoc
    on:
      branch: stable
notifications:
  email:
    on_success: change # default: change
    on_failure: always # default: always",,travis_to_gha,claeis_ili2db
"You are an Expert DevOps Engineer specializing in Travis CI to GitHub Actions migrations. Migrate this Travis CI config to a COMPLETE GitHub Actions workflow.

OUTPUT RULES
- Output YAML only (no prose). Your output MUST start with ""name:"" and include top-level keys: name, on, jobs.
- Include at least one job with: runs-on, steps.
- Do NOT output a snippet (must not start with ""- uses:"" or ""- run:"").

CONVERSION RULES
- Preserve semantics: env (global/matrix), caches, services/addons, branch/tag filters, deploys, notifications.
- Map Travis lifecycle to GHA steps: before_install, install, before_script, script, after_success/failure, deploy.
- Map matrices: jdk/node_js/python/go -> strategy.matrix; allow_failures -> continue-on-error.
- Env: env.global -> env (workflow/job/step). $FOO secrets -> ${{ secrets.FOO }}.
- Caches: cache: directories -> actions/cache@v4 with stable keys.
- Services/addons: services (dbs) -> jobs.<job>.services; addons.apt -> apt-get steps.
- Docker/Compose: preserve docker build/push and docker-compose up/down; keep wait loops verbatim.
- Triggers: preserve original branch/tag names; do not invent ""main"" or ""master"".
- Use modern actions: actions/checkout@v4; actions/setup-java@v4 (distribution: temurin), setup-node@v4, setup-python@v5, setup-go@v5.
- Do NOT introduce tools/registries not in the source (Buildx, login actions, GHCR, Sonar, custom email actions). If no 1:1 equivalent, add a short ""# TODO:"" comment.
- Prefer compact flow style for simple event lists. Use on: [push, pull_request] instead of multiline empty mappings.
- Do not leave empty event mappings.
- If branch/tag filters are required, switch to the expanded form for that event only.
- For any properties not explicitly specified (e.g., OS, JDK, Maven goals, etc.), use Travis CI's default behavior as the reference.


Now migrate below input section Travis CI configuration to equivalent complete GitHub Actions workflow and return ONLY the complete migrated YAML maintaining the above OUTPUT and CONVERSION rules.","language: java
jdk:
- openjdk17
services:
  - postgresql
  - mysql
before_script:
- psql -c 'create database travis_ci_test;' -U postgres
- psql -c 'create schema j_some authorization postgres;' -U postgres travis_ci_test
- psql -c ""CREATE ROLE javers LOGIN PASSWORD 'javers' SUPERUSER;"" -U postgres
- psql -c 'SHOW server_version_num;' -U postgres
- mysql -e 'CREATE DATABASE travis_ci_test;' -u root
- mysql -e ""CREATE USER 'javers'@'localhost' IDENTIFIED BY 'javers';"" -u root
- mysql -e ""GRANT ALL PRIVILEGES ON travis_ci_test.* TO 'javers'@'localhost' WITH GRANT OPTION;"" -u root
script:
- ./gradlew build
- ./gradlew integrationTest
deploy:
  skip_cleanup: true
  provider: script
  script: travis/deployToSonatype.sh
  on:
    tags: true
    branch: master

",,travis_to_gha,javers_javers
