project,direction,mode,category,valid_yaml,input_lines,output_lines
AtomGraph_Processor,travis_to_gha,few-shot,markdown_fence_with_preamble,False,33,50
AtomGraph_Processor,gha_to_travis,few-shot,markdown_fence_with_preamble,False,59,31
AuScope_NVCLAnalyticalServices,travis_to_gha,few-shot,markdown_fence_with_preamble,False,15,33
AuScope_NVCLAnalyticalServices,gha_to_travis,few-shot,markdown_fence_with_preamble,False,30,25
AxonIQ_axonserver-connector-java,travis_to_gha,few-shot,markdown_fence_with_preamble,False,21,35
AxonIQ_axonserver-connector-java,gha_to_travis,few-shot,markdown_fence_with_preamble,False,29,19
BombusMod_BombusMod,travis_to_gha,few-shot,markdown_fence_with_preamble,False,22,38
BombusMod_BombusMod,gha_to_travis,few-shot,markdown_fence_with_preamble,False,40,27
CST-Group_cst,travis_to_gha,few-shot,few_shot_example_echo,False,20,38
CST-Group_cst,gha_to_travis,few-shot,few_shot_example_echo,False,56,24
CodelyTV_java-basic-skeleton,travis_to_gha,few-shot,markdown_fence_with_preamble,False,26,41
CodelyTV_java-basic-skeleton,gha_to_travis,few-shot,markdown_fence_with_preamble,False,39,33
ConsensusJ_consensusj,travis_to_gha,few-shot,markdown_fence_with_preamble,False,24,41
ConsensusJ_consensusj,gha_to_travis,few-shot,few_shot_example_echo,False,41,24
Coolerfall_Android-HttpDownloadManager,travis_to_gha,few-shot,markdown_fence_with_preamble,False,29,39
Coolerfall_Android-HttpDownloadManager,gha_to_travis,few-shot,markdown_fence_with_preamble,False,28,30
FasterXML_jackson-jr,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,31
FasterXML_jackson-jr,gha_to_travis,few-shot,markdown_fence_with_preamble,False,31,19
Gepardec_Hogarama,travis_to_gha,few-shot,markdown_fence_with_preamble,False,6,21
Gepardec_Hogarama,gha_to_travis,few-shot,markdown_fence_with_preamble,False,23,15
GrowthcraftCE_Growthcraft-1.12,travis_to_gha,few-shot,markdown_fence_with_preamble,False,43,54
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,few-shot,markdown_fence_with_preamble,False,75,49
Hakky54_mutual-tls-ssl,travis_to_gha,few-shot,markdown_fence_with_preamble,False,24,40
Hakky54_mutual-tls-ssl,gha_to_travis,few-shot,markdown_fence_with_preamble,False,65,53
JetBrains_jediterm,travis_to_gha,few-shot,markdown_fence_with_preamble,False,5,24
JetBrains_jediterm,gha_to_travis,few-shot,markdown_fence_with_preamble,False,24,13
JodaOrg_joda-time,travis_to_gha,few-shot,markdown_fence_with_preamble,False,18,51
JodaOrg_joda-time,gha_to_travis,few-shot,markdown_fence_with_preamble,False,47,33
MilkBowl_VaultAPI,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,44
MilkBowl_VaultAPI,gha_to_travis,few-shot,markdown_fence_with_preamble,False,34,34
MineLittlePony_BigPony,travis_to_gha,few-shot,markdown_fence_with_preamble,False,25,40
MineLittlePony_BigPony,gha_to_travis,few-shot,markdown_fence_with_preamble,False,50,27
MineLittlePony_HDSkins,travis_to_gha,few-shot,markdown_fence_with_preamble,False,25,40
MineLittlePony_HDSkins,gha_to_travis,few-shot,markdown_fence_with_preamble,False,50,27
NetLogo_Matrix-Extension,travis_to_gha,few-shot,markdown_fence_with_preamble,False,18,40
NetLogo_Matrix-Extension,gha_to_travis,few-shot,markdown_fence_with_preamble,False,33,17
OHNLP_MedTagger,travis_to_gha,few-shot,markdown_fence_with_preamble,False,23,43
OHNLP_MedTagger,gha_to_travis,few-shot,markdown_fence_with_preamble,False,55,78
OSGeo_PROJ-JNI,travis_to_gha,few-shot,markdown_fence_with_preamble,False,25,46
OSGeo_PROJ-JNI,gha_to_travis,few-shot,other_yaml_structure_error,False,85,44
OpenLiberty_ci.maven,travis_to_gha,few-shot,markdown_fence_with_preamble,False,30,45
OpenLiberty_ci.maven,gha_to_travis,few-shot,markdown_fence_with_preamble,False,55,33
OpenLiberty_guide-arquillian-managed,travis_to_gha,few-shot,markdown_fence_with_preamble,False,16,56
OpenLiberty_guide-arquillian-managed,gha_to_travis,few-shot,input_echo_not_migrated,False,101,57
OpenLiberty_guide-cloud-azure,travis_to_gha,few-shot,markdown_fence_with_preamble,False,23,45
OpenLiberty_guide-cloud-azure,gha_to_travis,few-shot,markdown_fence_with_preamble,False,47,27
Paul2708_simple-commands,travis_to_gha,few-shot,valid_yaml,True,6,18
Paul2708_simple-commands,gha_to_travis,few-shot,markdown_fence_with_preamble,False,46,43
PepperLola_playerinfo,travis_to_gha,few-shot,markdown_fence_with_preamble,False,30,57
PepperLola_playerinfo,gha_to_travis,few-shot,markdown_fence_with_preamble,False,82,76
Pi4J_pi4j-v2,travis_to_gha,few-shot,input_echo_not_migrated,False,25,42
Pi4J_pi4j-v2,gha_to_travis,few-shot,markdown_fence_with_preamble,False,48,40
PojavLauncherTeam_PojavLauncher,travis_to_gha,few-shot,markdown_fence_with_preamble,False,58,58
PojavLauncherTeam_PojavLauncher,gha_to_travis,few-shot,other_yaml_structure_error,False,91,22
Sandec_JMemoryBuddy,travis_to_gha,few-shot,markdown_fence_with_preamble,False,10,25
Sandec_JMemoryBuddy,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,13
Smarteon_loxone-java,travis_to_gha,few-shot,few_shot_example_echo,False,36,53
Smarteon_loxone-java,gha_to_travis,few-shot,markdown_fence_with_preamble,False,86,41
TagnumElite_ProjectE-Integration,travis_to_gha,few-shot,markdown_fence_with_preamble,False,36,49
TagnumElite_ProjectE-Integration,gha_to_travis,few-shot,markdown_fence_with_preamble,False,44,51
ThatKawaiiSam_Assemble,travis_to_gha,few-shot,markdown_fence_with_preamble,False,20,30
ThatKawaiiSam_Assemble,gha_to_travis,few-shot,markdown_fence_with_preamble,False,44,36
TrNdy_mastodon-tracking,travis_to_gha,few-shot,markdown_fence_with_preamble,False,11,35
TrNdy_mastodon-tracking,gha_to_travis,few-shot,input_echo_not_migrated,False,30,21
Twasi_twasi-core,travis_to_gha,few-shot,markdown_fence_with_preamble,False,29,58
Twasi_twasi-core,gha_to_travis,few-shot,markdown_fence_with_preamble,False,82,35
WISVCH_events,travis_to_gha,few-shot,markdown_fence_with_preamble,False,26,53
WISVCH_events,gha_to_travis,few-shot,input_echo_not_migrated,False,70,43
YakushevVladimir_BibleQuote-for-Android,travis_to_gha,few-shot,markdown_fence_with_preamble,False,34,49
YakushevVladimir_BibleQuote-for-Android,gha_to_travis,few-shot,markdown_fence_with_preamble,False,34,32
adobe_experience-platform-streaming-connect,travis_to_gha,few-shot,markdown_fence_with_preamble,False,12,36
adobe_experience-platform-streaming-connect,gha_to_travis,few-shot,markdown_fence_with_preamble,False,35,22
agateau_pixelwheels,travis_to_gha,few-shot,markdown_fence_with_preamble,False,11,31
agateau_pixelwheels,gha_to_travis,few-shot,markdown_fence_with_preamble,False,21,16
albertus82_cyclesmod,travis_to_gha,few-shot,markdown_fence_with_preamble,False,38,45
albertus82_cyclesmod,gha_to_travis,few-shot,markdown_fence_with_preamble,False,87,52
alexvasilkov_GestureViews,travis_to_gha,few-shot,markdown_fence_with_preamble,False,37,48
alexvasilkov_GestureViews,gha_to_travis,few-shot,markdown_fence_only,False,92,23
anand1st_sshd-shell-spring-boot,travis_to_gha,few-shot,markdown_fence_with_preamble,False,5,24
anand1st_sshd-shell-spring-boot,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,18
anastaciocintra_escpos-coffee,travis_to_gha,few-shot,markdown_fence_with_preamble,False,14,36
anastaciocintra_escpos-coffee,gha_to_travis,few-shot,markdown_fence_with_preamble,False,49,48
apache_dubbo-spi-extensions,travis_to_gha,few-shot,few_shot_example_echo,False,22,39
apache_dubbo-spi-extensions,gha_to_travis,few-shot,markdown_fence_with_preamble,False,48,27
apache_maven-enforcer,travis_to_gha,few-shot,markdown_fence_with_preamble,False,16,28
apache_maven-enforcer,gha_to_travis,few-shot,markdown_fence_with_preamble,False,22,26
azarnovdaniil_java-net-course,travis_to_gha,few-shot,markdown_fence_with_preamble,False,7,22
azarnovdaniil_java-net-course,gha_to_travis,few-shot,markdown_fence_with_preamble,False,19,15
ballerina-platform_module-ballerina-docker,travis_to_gha,few-shot,few_shot_example_echo,False,45,52
ballerina-platform_module-ballerina-docker,gha_to_travis,few-shot,markdown_fence_with_preamble,False,54,49
billthefarmer_currency,travis_to_gha,few-shot,markdown_fence_with_preamble,False,15,29
billthefarmer_currency,gha_to_travis,few-shot,markdown_fence_with_preamble,False,32,16
billthefarmer_editor,travis_to_gha,few-shot,markdown_fence_with_preamble,False,16,30
billthefarmer_editor,gha_to_travis,few-shot,markdown_fence_with_preamble,False,33,16
bootique_bootique-logback,travis_to_gha,few-shot,markdown_fence_with_preamble,False,34,48
bootique_bootique-logback,gha_to_travis,few-shot,markdown_fence_with_preamble,False,80,48
btraceio_btrace,travis_to_gha,few-shot,markdown_fence_with_preamble,False,47,64
btraceio_btrace,gha_to_travis,few-shot,markdown_fence_with_preamble,False,91,56
cdk_cdk,travis_to_gha,few-shot,markdown_fence_with_preamble,False,9,25
cdk_cdk,gha_to_travis,few-shot,markdown_fence_with_preamble,False,19,15
constellation-app_constellation,travis_to_gha,few-shot,markdown_fence_with_preamble,False,45,54
constellation-app_constellation,gha_to_travis,few-shot,markdown_fence_with_preamble,False,87,59
